config,mac_count,bitwidth,problem,result_dir,gflops_at_1ghz,utilization_pct,cycles,energy_uj,computes_total,fj_per_compute_total,fj_per_compute_mac,fj_per_compute_global_buffer,fj_per_compute_ifmap_buffer,fj_per_compute_weight_buffer,fj_per_compute_ofmap_buffer,fj_per_compute_onchip_buffers_total,fj_per_compute_dram,global_buffer_total_scalar_accesses,ifmap_buffer_total_scalar_accesses,weight_buffer_total_scalar_accesses,ofmap_buffer_total_scalar_accesses,onchip_buffers_total_scalar_accesses,dram_total_scalar_accesses,global_buffer_op_per_byte,ifmap_buffer_op_per_byte,weight_buffer_op_per_byte,ofmap_buffer_op_per_byte,dram_op_per_byte,mac_area_um2_total,global_buffer_area_um2,ifmap_buffer_area_um2,weight_buffer_area_um2,ofmap_buffer_area_um2,onchip_buffers_area_um2_total,area_mm2_summary,global_buffer_keep_outputs,global_buffer_bypass_outputs,global_buffer_keep_list,global_buffer_bypass_list,ofmap_buffer_keep_outputs,ofmap_buffer_bypass_outputs,ofmap_buffer_keep_list,ofmap_buffer_bypass_list,map_loop_nest,ifmap_buffer_bypass_list,ifmap_buffer_bypass_outputs,ifmap_buffer_keep_list,ifmap_buffer_keep_outputs,weight_buffer_bypass_list,weight_buffer_bypass_outputs,weight_buffer_keep_list,weight_buffer_keep_outputs
cnn_accel_3mac__conv2d_16x16_k4,3,8,conv2d_16x16_k4,timeloop/results/cnn_accel_3mac__conv2d_16x16_k4,5.67,100.0,3072,0.44,9216,47856.89,3500.0,,2924.77,7335.18,4062.22,14322.17,30034.72,,3684,9252,5120,18056,1384,,4.73,1.88,3.4,12.58,7200.0,,7680.0,7680.0,7680.0,23040.0,0.0,,,,,True,False,Outputs,Weights|Inputs,for K in [0:2) ; for K in [0:2) ; for P in [0:4) ; for P in [0:4) ; for R in [0:3) ; for Q in [0:16) ; for S in [0:3) (Spatial-X),Weights|Outputs,True,Inputs,False,Inputs|Outputs,True,Weights,False
cnn_accel_3mac__conv2d_32x32,3,8,conv2d_32x32,timeloop/results/cnn_accel_3mac__conv2d_32x32,5.67,100.0,3072,0.62,9216,66749.92,3500.0,,7614.0,7313.8,817.78,15745.58,47504.34,,9604,9225,1024,19853,2189,,1.81,1.89,17.0,7.95,7200.0,,7680.0,7680.0,7680.0,23040.0,0.0,,,,,True,False,Outputs,Weights|Inputs,for Q in [0:8) ; for P in [0:4) ; for P in [0:4) ; for Q in [0:2) ; for Q in [0:2) ; for P in [0:2) ; for S in [0:3) ; for R in [0:3) (Spatial-X),Weights|Outputs,True,Inputs,False,Inputs|Outputs,True,Weights,False
cnn_accel_3mac__conv2d_8x8,3,8,conv2d_8x8,timeloop/results/cnn_accel_3mac__conv2d_8x8,5.67,100.0,192,0.05,576,79216.01,3500.0,,4163.61,7420.73,4062.22,15646.56,60069.44,,328,585,320,1233,173,,3.32,1.86,3.4,6.29,7200.0,,7680.0,7680.0,7680.0,23040.0,0.0,,,,,True,False,Outputs,Weights|Inputs,for P in [0:2) ; for P in [0:4) ; for R in [0:3) ; for Q in [0:8) ; for S in [0:3) (Spatial-X),Weights|Outputs,True,Inputs,False,Inputs|Outputs,True,Weights,False
9mac_16x16,9,8,16x16,timeloop/results/9mac_16x16,17.0,100.0,256,0.15,2304,65723.27,3500.0,11094.8,,,,11094.8,51128.47,3501,,,,3501,589,1.24,,,,7.39,21600.0,7680.0,,,,7680.0,0.0,False,True,Weights|Inputs,Outputs,,,,,for Q in [0:16) ; for P in [0:16) ; for S in [0:3) (Spatial-X) ; for R in [0:3) (Spatial-X),,,,,,,,
9mac_16x16_splitbuf,9,8,16x16,timeloop/results/9mac_16x16_splitbuf,17.0,100.0,256,0.15,2304,66640.22,3500.0,,4678.78,2.22,7330.74,12011.74,51128.47,,1476,,2313,3789,589,,2.95,,1.88,7.39,21600.0,,7680.0,7680.0,7680.0,23040.0,0.0,,,,,False,True,Weights,Inputs|Outputs,for Q in [0:4) ; for P in [0:4) ; for Q in [0:2) ; for Q in [0:2) ; for P in [0:4) ; for S in [0:3) (Spatial-X) ; for R in [0:3) (Spatial-X),Weights|Outputs,True,Inputs,False,Weights|Inputs|Outputs,True,,False
9mac_16x16_splitbuf_hard,9,8,16x16,timeloop/results/9mac_16x16_splitbuf_hard,17.0,100.0,256,0.16,2304,67451.33,3500.0,,4678.78,7330.74,813.33,12822.85,51128.47,,1476,2313,256,4045,589,,2.95,1.88,17.0,7.39,21600.0,,7680.0,7680.0,7680.0,23040.0,0.0,,,,,True,False,Outputs,Weights|Inputs,for Q in [0:4) ; for P in [0:4) ; for Q in [0:2) ; for Q in [0:2) ; for P in [0:4) ; for S in [0:3) (Spatial-X) ; for R in [0:3) (Spatial-X),Weights|Outputs,True,Inputs,False,Inputs|Outputs,True,Weights,False
cnn_accel_9mac__conv2d_16x16,9,8,conv2d_16x16,timeloop/results/cnn_accel_9mac__conv2d_16x16,17.0,100.0,256,0.16,2304,67451.33,3500.0,,4678.78,7330.74,813.33,12822.85,51128.47,,1476,2313,256,4045,589,,2.95,1.88,17.0,7.39,21600.0,,7680.0,7680.0,7680.0,23040.0,0.0,,,,,True,False,Outputs,Weights|Inputs,for Q in [0:4) ; for P in [0:4) ; for Q in [0:2) ; for Q in [0:2) ; for P in [0:4) ; for S in [0:3) (Spatial-X) ; for R in [0:3) (Spatial-X),Weights|Outputs,True,Inputs,False,Inputs|Outputs,True,Weights,False
cnn_accel_9mac__conv2d_16x16_c3,9,8,conv2d_16x16_c3,timeloop/results/cnn_accel_9mac__conv2d_16x16_c3,15.7,88.89,864,0.61,6912,88709.4,3500.0,,3449.72,943.52,14872.87,19266.11,65943.29,,3264,891,14080,18235,2279,,4.16,15.23,0.96,5.95,21600.0,,7680.0,7680.0,7680.0,23040.0,0.0,,,,,True,False,Outputs,Weights|Inputs,for C in [0:3) ; for Q in [0:2) ; for P in [0:2) ; for Q in [0:8) ; for S in [0:3) ; for R in [0:3) ; for P in [0:8) (Spatial-X),Weights|Outputs,True,Inputs,False,Inputs|Outputs,True,Weights,False
cnn_accel_9mac__conv2d_16x16_c3k8,9,8,conv2d_16x16_c3k8,timeloop/results/cnn_accel_9mac__conv2d_16x16_c3k8,15.7,88.89,6912,8.67,55296,156763.19,3500.0,,2259.99,1941.56,16495.09,20696.64,132566.55,,17100,14688,124928,156716,36652,,6.35,7.39,0.87,2.96,21600.0,,7680.0,7680.0,7680.0,23040.0,0.0,,,,,True,False,Outputs,Weights|Inputs,for C in [0:3) ; for P in [0:4) ; for K in [0:4) ; for S in [0:3) ; for Q in [0:8) ; for P in [0:2) ; for R in [0:3) ; for K in [0:2) (Spatial-X) ; for Q in [0:2) (Spatial-X) ; for P in [0:2) (Spatial-X),Weights|Outputs,True,Inputs,False,Inputs|Outputs,True,Weights,False
cnn_accel_9mac__conv2d_16x16_k4,9,8,conv2d_16x16_k4,timeloop/results/cnn_accel_9mac__conv2d_16x16_k4,17.0,100.0,1024,0.45,9216,49237.66,3500.0,,7558.86,7330.74,813.33,15702.93,30034.72,,9540,9252,1024,19816,1384,,1.82,1.88,17.0,12.58,21600.0,,7680.0,7680.0,7680.0,23040.0,0.0,,,,,True,False,Outputs,Weights|Inputs,for K in [0:2) ; for K in [0:2) ; for P in [0:4) ; for P in [0:4) ; for Q in [0:16) ; for S in [0:3) (Spatial-X) ; for R in [0:3) (Spatial-X),Weights|Outputs,True,Inputs,False,Inputs|Outputs,True,Weights,False
cnn_accel_9mac__conv2d_32x32,9,8,conv2d_32x32,timeloop/results/cnn_accel_9mac__conv2d_32x32,17.0,100.0,1024,0.58,9216,62630.33,3500.0,,3503.31,7309.35,813.33,11625.99,47504.34,,4420,9225,1024,14669,2189,,3.94,1.89,17.0,7.95,21600.0,,7680.0,7680.0,7680.0,23040.0,0.0,,,,,True,False,Outputs,Weights|Inputs,for Q in [0:16) ; for Q in [0:2) ; for P in [0:16) ; for P in [0:2) ; for S in [0:3) (Spatial-X) ; for R in [0:3) (Spatial-X),Weights|Outputs,True,Inputs,False,Inputs|Outputs,True,Weights,False
cnn_accel_9mac__conv2d_8x8,9,8,conv2d_8x8,timeloop/results/cnn_accel_9mac__conv2d_8x8,17.0,100.0,64,0.04,576,76718.65,3500.0,,4919.58,7416.28,813.33,13149.19,60069.44,,388,585,64,1037,173,,2.8,1.86,17.0,6.29,21600.0,,7680.0,7680.0,7680.0,23040.0,0.0,,,,,True,False,Outputs,Weights|Inputs,for P in [0:2) ; for Q in [0:8) ; for P in [0:4) ; for S in [0:3) (Spatial-X) ; for R in [0:3) (Spatial-X),Weights|Outputs,True,Inputs,False,Inputs|Outputs,True,Weights,False
cnn_accel_1mac_16b__conv2d_16x16,1,16,conv2d_16x16,timeloop/results/cnn_accel_1mac_16b__conv2d_16x16,1.89,100.0,2304,0.2,2304,87632.44,7000.0,,8346.56,7348.52,13808.89,29503.97,51128.47,,2628,2313,4352,9293,589,,0.83,0.94,0.5,3.69,4800.0,,7680.0,7680.0,7680.0,23040.0,0.0,,,,,True,False,Outputs,Weights|Inputs,for Q in [0:16) ; for P in [0:16) ; for S in [0:3) ; for R in [0:3),Weights|Outputs,True,Inputs,False,Inputs|Outputs,True,Weights,False
cnn_accel_1mac_16b__conv2d_16x16_c3,1,16,conv2d_16x16_c3,timeloop/results/cnn_accel_1mac_16b__conv2d_16x16_c3,1.96,100.0,6912,0.54,6912,77407.19,7000.0,,8460.63,7377.03,14349.63,30187.289999999997,40219.91,,7992,6966,13568,28526,1390,,0.85,0.97,0.5,4.88,4800.0,,7680.0,7680.0,7680.0,23040.0,0.0,,,,,True,False,Outputs,Weights|Inputs,for P in [0:2) ; for C in [0:3) ; for Q in [0:16) ; for P in [0:8) ; for S in [0:3) ; for R in [0:3),Weights|Outputs,True,Inputs,False,Inputs|Outputs,True,Weights,False
cnn_accel_1mac_16b__conv2d_16x16_c3k8,1,16,conv2d_16x16_c3k8,timeloop/results/cnn_accel_1mac_16b__conv2d_16x16_c3k8,1.96,100.0,55296,4.06,55296,73358.37,7000.0,,7462.58,8232.5,14349.63,30044.71,36313.66,,56376,62208,108544,227128,10040,,0.96,0.87,0.5,5.41,4800.0,,7680.0,7680.0,7680.0,23040.0,0.0,,,,,True,False,Outputs,Weights|Inputs,for Q in [0:2) ; for P in [0:8) ; for K in [0:2) ; for K in [0:4) ; for P in [0:2) ; for C in [0:3) ; for S in [0:3) ; for Q in [0:8) ; for R in [0:3),Weights|Outputs,True,Inputs,False,Inputs|Outputs,True,Weights,False
cnn_accel_1mac_16b__conv2d_16x16_k4,1,16,conv2d_16x16_k4,timeloop/results/cnn_accel_1mac_16b__conv2d_16x16_k4,1.89,100.0,9216,0.61,9216,65768.77,7000.0,,7576.64,7348.52,13808.89,28734.05,30034.72,,9540,9252,17408,36200,1384,,0.91,0.94,0.5,6.29,4800.0,,7680.0,7680.0,7680.0,23040.0,0.0,,,,,True,False,Outputs,Weights|Inputs,for K in [0:2) ; for K in [0:2) ; for Q in [0:4) ; for P in [0:16) ; for Q in [0:4) ; for S in [0:3) ; for R in [0:3),Weights|Outputs,True,Inputs,False,Inputs|Outputs,True,Weights,False
cnn_accel_1mac_16b__conv2d_32x32,1,16,conv2d_32x32,timeloop/results/cnn_accel_1mac_16b__conv2d_32x32,1.89,100.0,9216,0.77,9216,83876.03,7000.0,,8235.67,7327.13,13808.89,29371.69,47504.34,,10372,9225,17408,37005,2189,,0.84,0.94,0.5,3.98,4800.0,,7680.0,7680.0,7680.0,23040.0,0.0,,,,,True,False,Outputs,Weights|Inputs,for Q in [0:16) ; for Q in [0:2) ; for P in [0:2) ; for P in [0:16) ; for S in [0:3) ; for R in [0:3),Weights|Outputs,True,Inputs,False,Inputs|Outputs,True,Weights,False
cnn_accel_1mac_16b__conv2d_8x8,1,16,conv2d_8x8,timeloop/results/cnn_accel_1mac_16b__conv2d_8x8,1.89,100.0,576,0.06,576,96899.76,7000.0,,8587.36,7434.06,13808.89,29830.31,60069.44,,676,585,1088,2349,173,,0.8,0.93,0.5,3.14,4800.0,,7680.0,7680.0,7680.0,23040.0,0.0,,,,,True,False,Outputs,Weights|Inputs,for Q in [0:8) ; for P in [0:8) ; for S in [0:3) ; for R in [0:3),Weights|Outputs,True,Inputs,False,Inputs|Outputs,True,Weights,False
cnn_accel_3mac_16b__conv2d_16x16,3,16,conv2d_16x16,timeloop/results/cnn_accel_3mac_16b__conv2d_16x16,5.67,100.0,768,0.17,2304,73397.99,7000.0,,3872.12,7335.18,4062.22,15269.52,51128.47,,1220,2313,1280,4813,589,,1.78,0.94,1.7,3.69,14400.0,,7680.0,7680.0,7680.0,23040.0,0.0,,,,,True,False,Outputs,Weights|Inputs,for P in [0:2) ; for P in [0:4) ; for Q in [0:2) ; for R in [0:3) ; for P in [0:2) ; for Q in [0:8) ; for S in [0:3) (Spatial-X),Weights|Outputs,True,Inputs,False,Inputs|Outputs,True,Weights,False
cnn_accel_3mac_16b__conv2d_16x16_c3,3,16,conv2d_16x16_c3,timeloop/results/cnn_accel_3mac_16b__conv2d_16x16_c3,5.89,100.0,2304,0.62,6912,89750.54,7000.0,,4328.37,7335.18,5143.7,16807.25,65943.29,,4092,6939,4864,15895,2279,,1.66,0.98,1.39,2.98,14400.0,,7680.0,7680.0,7680.0,23040.0,0.0,,,,,True,False,Outputs,Weights|Inputs,for C in [0:3) ; for P in [0:4) ; for Q in [0:2) ; for Q in [0:8) ; for S in [0:3) ; for P in [0:4) ; for R in [0:3) (Spatial-X),Weights|Outputs,True,Inputs,False,Inputs|Outputs,True,Weights,False
cnn_accel_3mac_16b__conv2d_16x16_c3k8,3,16,conv2d_16x16_c3k8,timeloop/results/cnn_accel_3mac_16b__conv2d_16x16_c3k8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cnn_accel_3mac_16b__conv2d_16x16_k4,3,16,conv2d_16x16_k4,timeloop/results/cnn_accel_3mac_16b__conv2d_16x16_k4,5.67,100.0,3072,0.47,9216,51356.89,7000.0,,2924.77,7335.18,4062.22,14322.17,30034.72,,3684,9252,5120,18056,1384,,2.36,0.94,1.7,6.29,14400.0,,7680.0,7680.0,7680.0,23040.0,0.0,,,,,True,False,Outputs,Weights|Inputs,for K in [0:2) ; for K in [0:2) ; for P in [0:4) ; for P in [0:4) ; for R in [0:3) ; for Q in [0:16) ; for S in [0:3) (Spatial-X),Weights|Outputs,True,Inputs,False,Inputs|Outputs,True,Weights,False
cnn_accel_3mac_16b__conv2d_32x32,3,16,conv2d_32x32,timeloop/results/cnn_accel_3mac_16b__conv2d_32x32,5.67,100.0,3072,0.65,9216,70249.92,7000.0,,7614.0,7313.8,817.78,15745.58,47504.34,,9604,9225,1024,19853,2189,,0.91,0.94,8.5,3.98,14400.0,,7680.0,7680.0,7680.0,23040.0,0.0,,,,,True,False,Outputs,Weights|Inputs,for Q in [0:8) ; for P in [0:4) ; for P in [0:4) ; for Q in [0:2) ; for Q in [0:2) ; for P in [0:2) ; for S in [0:3) ; for R in [0:3) (Spatial-X),Weights|Outputs,True,Inputs,False,Inputs|Outputs,True,Weights,False
cnn_accel_3mac_16b__conv2d_8x8,3,16,conv2d_8x8,timeloop/results/cnn_accel_3mac_16b__conv2d_8x8,5.67,100.0,192,0.05,576,82716.01,7000.0,,4163.61,7420.73,4062.22,15646.56,60069.44,,328,585,320,1233,173,,1.66,0.93,1.7,3.14,14400.0,,7680.0,7680.0,7680.0,23040.0,0.0,,,,,True,False,Outputs,Weights|Inputs,for P in [0:2) ; for P in [0:4) ; for R in [0:3) ; for Q in [0:8) ; for S in [0:3) (Spatial-X),Weights|Outputs,True,Inputs,False,Inputs|Outputs,True,Weights,False
cnn_accel_9mac_16b__conv2d_16x16,9,16,conv2d_16x16,timeloop/results/cnn_accel_9mac_16b__conv2d_16x16,17.0,100.0,256,0.16,2304,70951.33,7000.0,,4678.78,7330.74,813.33,12822.85,51128.47,,1476,2313,256,4045,589,,1.47,0.94,8.5,3.69,43200.0,,7680.0,7680.0,7680.0,23040.0,0.0,,,,,True,False,Outputs,Weights|Inputs,for Q in [0:4) ; for P in [0:4) ; for Q in [0:2) ; for Q in [0:2) ; for P in [0:4) ; for S in [0:3) (Spatial-X) ; for R in [0:3) (Spatial-X),Weights|Outputs,True,Inputs,False,Inputs|Outputs,True,Weights,False
cnn_accel_9mac_16b__conv2d_16x16_c3,9,16,conv2d_16x16_c3,timeloop/results/cnn_accel_9mac_16b__conv2d_16x16_c3,15.7,88.89,864,0.64,6912,92209.4,7000.0,,3449.72,943.52,14872.87,19266.11,65943.29,,3264,891,14080,18235,2279,,2.08,7.61,0.48,2.98,43200.0,,7680.0,7680.0,7680.0,23040.0,0.0,,,,,True,False,Outputs,Weights|Inputs,for C in [0:3) ; for Q in [0:2) ; for P in [0:2) ; for Q in [0:8) ; for S in [0:3) ; for R in [0:3) ; for P in [0:8) (Spatial-X),Weights|Outputs,True,Inputs,False,Inputs|Outputs,True,Weights,False
cnn_accel_9mac_16b__conv2d_16x16_c3k8,9,16,conv2d_16x16_c3k8,timeloop/results/cnn_accel_9mac_16b__conv2d_16x16_c3k8,15.7,88.89,6912,8.86,55296,160263.19,7000.0,,2259.99,1941.56,16495.09,20696.64,132566.55,,17100,14688,124928,156716,36652,,3.17,3.69,0.43,1.48,43200.0,,7680.0,7680.0,7680.0,23040.0,0.0,,,,,True,False,Outputs,Weights|Inputs,for C in [0:3) ; for P in [0:4) ; for K in [0:4) ; for S in [0:3) ; for Q in [0:8) ; for P in [0:2) ; for R in [0:3) ; for K in [0:2) (Spatial-X) ; for Q in [0:2) (Spatial-X) ; for P in [0:2) (Spatial-X),Weights|Outputs,True,Inputs,False,Inputs|Outputs,True,Weights,False
cnn_accel_9mac_16b__conv2d_16x16_k4,9,16,conv2d_16x16_k4,timeloop/results/cnn_accel_9mac_16b__conv2d_16x16_k4,17.0,100.0,1024,0.49,9216,52737.66,7000.0,,7558.86,7330.74,813.33,15702.93,30034.72,,9540,9252,1024,19816,1384,,0.91,0.94,8.5,6.29,43200.0,,7680.0,7680.0,7680.0,23040.0,0.0,,,,,True,False,Outputs,Weights|Inputs,for K in [0:2) ; for K in [0:2) ; for P in [0:4) ; for P in [0:4) ; for Q in [0:16) ; for S in [0:3) (Spatial-X) ; for R in [0:3) (Spatial-X),Weights|Outputs,True,Inputs,False,Inputs|Outputs,True,Weights,False
cnn_accel_9mac_16b__conv2d_32x32,9,16,conv2d_32x32,timeloop/results/cnn_accel_9mac_16b__conv2d_32x32,17.0,100.0,1024,0.61,9216,66130.33,7000.0,,3503.31,7309.35,813.33,11625.99,47504.34,,4420,9225,1024,14669,2189,,1.97,0.94,8.5,3.98,43200.0,,7680.0,7680.0,7680.0,23040.0,0.0,,,,,True,False,Outputs,Weights|Inputs,for Q in [0:16) ; for Q in [0:2) ; for P in [0:16) ; for P in [0:2) ; for S in [0:3) (Spatial-X) ; for R in [0:3) (Spatial-X),Weights|Outputs,True,Inputs,False,Inputs|Outputs,True,Weights,False
cnn_accel_9mac_16b__conv2d_8x8,9,16,conv2d_8x8,timeloop/results/cnn_accel_9mac_16b__conv2d_8x8,17.0,100.0,64,0.05,576,80218.65,7000.0,,4919.58,7416.28,813.33,13149.19,60069.44,,388,585,64,1037,173,,1.4,0.93,8.5,3.14,43200.0,,7680.0,7680.0,7680.0,23040.0,0.0,,,,,True,False,Outputs,Weights|Inputs,for P in [0:2) ; for Q in [0:8) ; for P in [0:4) ; for S in [0:3) (Spatial-X) ; for R in [0:3) (Spatial-X),Weights|Outputs,True,Inputs,False,Inputs|Outputs,True,Weights,False
