config,mac_count,bitwidth,problem,result_dir,gflops_at_1ghz,utilization_pct,cycles,energy_uj,computes_total,fj_per_compute_total,fj_per_compute_mac,fj_per_compute_global_buffer,fj_per_compute_ifmap_buffer,fj_per_compute_weight_buffer,fj_per_compute_ofmap_buffer,fj_per_compute_onchip_buffers_total,fj_per_compute_dram,global_buffer_total_scalar_accesses,ifmap_buffer_total_scalar_accesses,weight_buffer_total_scalar_accesses,ofmap_buffer_total_scalar_accesses,onchip_buffers_total_scalar_accesses,dram_total_scalar_accesses,global_buffer_op_per_byte,ifmap_buffer_op_per_byte,weight_buffer_op_per_byte,ofmap_buffer_op_per_byte,dram_op_per_byte,mac_area_um2_total,global_buffer_area_um2,ifmap_buffer_area_um2,weight_buffer_area_um2,ofmap_buffer_area_um2,onchip_buffers_area_um2_total,area_mm2_summary,global_buffer_keep_outputs,global_buffer_bypass_outputs,global_buffer_keep_list,global_buffer_bypass_list,ofmap_buffer_keep_outputs,ofmap_buffer_bypass_outputs,ofmap_buffer_keep_list,ofmap_buffer_bypass_list,map_loop_nest,ifmap_buffer_bypass_list,ifmap_buffer_bypass_outputs,ifmap_buffer_keep_list,ifmap_buffer_keep_outputs,weight_buffer_bypass_list,weight_buffer_bypass_outputs,weight_buffer_keep_list,weight_buffer_keep_outputs
cnn_accel_3mac_4b__conv2d_8x8,3,4,conv2d_8x8,timeloop/results/cnn_accel_3mac_4b__conv2d_8x8,5.67,100.0,192,0.04,576,77466.01,1750.0,,4163.61,7420.73,4062.22,15646.56,60069.44,,328,585,320,1233,173,,6.63,3.73,6.8,12.65,3600.0,,7680.0,7680.0,7680.0,23040.0,0.0,,,,,True,False,Outputs,Weights|Inputs,for P in [0:2) ; for P in [0:4) ; for R in [0:3) ; for Q in [0:8) ; for S in [0:3) (Spatial-X),Weights|Outputs,True,Inputs,False,Inputs|Outputs,True,Weights,False
cnn_accel_9mac_4b__conv2d_16x16,9,4,conv2d_16x16,timeloop/results/cnn_accel_9mac_4b__conv2d_16x16,17.0,100.0,256,0.15,2304,65701.33,1750.0,,4678.78,7330.74,813.33,12822.85,51128.47,,1476,2313,256,4045,589,,5.9,3.76,34.0,14.8,10800.0,,7680.0,7680.0,7680.0,23040.0,0.0,,,,,True,False,Outputs,Weights|Inputs,for Q in [0:4) ; for P in [0:4) ; for Q in [0:2) ; for Q in [0:2) ; for P in [0:4) ; for S in [0:3) (Spatial-X) ; for R in [0:3) (Spatial-X),Weights|Outputs,True,Inputs,False,Inputs|Outputs,True,Weights,False
cnn_accel_9mac_4b__conv2d_16x16_c3,9,4,conv2d_16x16_c3,timeloop/results/cnn_accel_9mac_4b__conv2d_16x16_c3,15.7,88.89,864,0.6,6912,86959.4,1750.0,,3449.72,943.52,14872.87,19266.11,65943.29,,3264,891,14080,18235,2279,,8.31,30.49,1.93,11.91,10800.0,,7680.0,7680.0,7680.0,23040.0,0.0,,,,,True,False,Outputs,Weights|Inputs,for C in [0:3) ; for Q in [0:2) ; for P in [0:2) ; for Q in [0:8) ; for S in [0:3) ; for R in [0:3) ; for P in [0:8) (Spatial-X),Weights|Outputs,True,Inputs,False,Inputs|Outputs,True,Weights,False
cnn_accel_9mac_4b__conv2d_16x16_c3k8,9,4,conv2d_16x16_c3k8,timeloop/results/cnn_accel_9mac_4b__conv2d_16x16_c3k8,15.7,88.89,6912,8.57,55296,155013.19,1750.0,,2259.99,1941.56,16495.09,20696.64,132566.55,,17100,14688,124928,156716,36652,,12.7,14.78,1.74,5.92,10800.0,,7680.0,7680.0,7680.0,23040.0,0.0,,,,,True,False,Outputs,Weights|Inputs,for C in [0:3) ; for P in [0:4) ; for K in [0:4) ; for S in [0:3) ; for Q in [0:8) ; for P in [0:2) ; for R in [0:3) ; for K in [0:2) (Spatial-X) ; for Q in [0:2) (Spatial-X) ; for P in [0:2) (Spatial-X),Weights|Outputs,True,Inputs,False,Inputs|Outputs,True,Weights,False
cnn_accel_9mac_4b__conv2d_16x16_k4,9,4,conv2d_16x16_k4,timeloop/results/cnn_accel_9mac_4b__conv2d_16x16_k4,17.0,100.0,1024,0.44,9216,47487.66,1750.0,,7558.86,7330.74,813.33,15702.93,30034.72,,9540,9252,1024,19816,1384,,3.65,3.76,34.0,25.16,10800.0,,7680.0,7680.0,7680.0,23040.0,0.0,,,,,True,False,Outputs,Weights|Inputs,for K in [0:2) ; for K in [0:2) ; for P in [0:4) ; for P in [0:4) ; for Q in [0:16) ; for S in [0:3) (Spatial-X) ; for R in [0:3) (Spatial-X),Weights|Outputs,True,Inputs,False,Inputs|Outputs,True,Weights,False
cnn_accel_9mac_4b__conv2d_32x32,9,4,conv2d_32x32,timeloop/results/cnn_accel_9mac_4b__conv2d_32x32,17.0,100.0,1024,0.56,9216,60880.33,1750.0,,3503.31,7309.35,813.33,11625.99,47504.34,,4420,9225,1024,14669,2189,,7.88,3.77,34.0,15.91,10800.0,,7680.0,7680.0,7680.0,23040.0,0.0,,,,,True,False,Outputs,Weights|Inputs,for Q in [0:16) ; for Q in [0:2) ; for P in [0:16) ; for P in [0:2) ; for S in [0:3) (Spatial-X) ; for R in [0:3) (Spatial-X),Weights|Outputs,True,Inputs,False,Inputs|Outputs,True,Weights,False
cnn_accel_9mac_4b__conv2d_8x8,9,4,conv2d_8x8,timeloop/results/cnn_accel_9mac_4b__conv2d_8x8,17.0,100.0,64,0.04,576,74968.65,1750.0,,4919.58,7416.28,813.33,13149.19,60069.44,,388,585,64,1037,173,,5.61,3.73,34.0,12.65,10800.0,,7680.0,7680.0,7680.0,23040.0,0.0,,,,,True,False,Outputs,Weights|Inputs,for P in [0:2) ; for Q in [0:8) ; for P in [0:4) ; for S in [0:3) (Spatial-X) ; for R in [0:3) (Spatial-X),Weights|Outputs,True,Inputs,False,Inputs|Outputs,True,Weights,False
1mac_16x16,1,8,16x16,timeloop/results/1mac_16x16,1.89,100.0,2304,0.19,2304,84092.44,3500.0,29463.97,,,,29463.97,51128.47,9293,,,,9293,589,0.47,,,,7.39,2400.0,7680.0,,,,7680.0,0.0,True,False,Weights|Inputs|Outputs,,,,,,for P in [0:2) ; for Q in [0:16) ; for P in [0:8) ; for S in [0:3) ; for R in [0:3),,,,,,,,
1mac_16x16_splitbuf,1,8,16x16,timeloop/results/1mac_16x16_splitbuf,1.89,100.0,2304,0.19,2304,84132.44,3500.0,,8346.56,7348.52,13808.89,29503.97,51128.47,,2628,2313,4352,9293,589,,1.66,1.88,1.0,7.39,2400.0,,7680.0,7680.0,7680.0,23040.0,0.0,,,,,True,False,Outputs,Weights|Inputs,for Q in [0:16) ; for P in [0:16) ; for S in [0:3) ; for R in [0:3),Weights|Outputs,True,Inputs,False,Inputs|Outputs,True,Weights,False
1mac_16x16_splitbuf_hard,1,8,16x16,timeloop/results/1mac_16x16_splitbuf_hard,1.89,100.0,2304,0.19,2304,84132.44,3500.0,,8346.56,7348.52,13808.89,29503.97,51128.47,,2628,2313,4352,9293,589,,1.66,1.88,1.0,7.39,2400.0,,7680.0,7680.0,7680.0,23040.0,0.0,,,,,True,False,Outputs,Weights|Inputs,for Q in [0:16) ; for P in [0:16) ; for S in [0:3) ; for R in [0:3),Weights|Outputs,True,Inputs,False,Inputs|Outputs,True,Weights,False
