config,result_dir,gflops_at_1ghz,utilization_pct,cycles,energy_uj,computes_total,fj_per_compute_total,fj_per_compute_mac,fj_per_compute_global_buffer,fj_per_compute_ifmap_buffer,fj_per_compute_weight_buffer,fj_per_compute_ofmap_buffer,fj_per_compute_onchip_buffers_total,fj_per_compute_dram,global_buffer_total_scalar_accesses,ifmap_buffer_total_scalar_accesses,weight_buffer_total_scalar_accesses,ofmap_buffer_total_scalar_accesses,onchip_buffers_total_scalar_accesses,dram_total_scalar_accesses,global_buffer_op_per_byte,ifmap_buffer_op_per_byte,weight_buffer_op_per_byte,ofmap_buffer_op_per_byte,dram_op_per_byte,mac_area_um2_total,global_buffer_area_um2,ifmap_buffer_area_um2,weight_buffer_area_um2,ofmap_buffer_area_um2,onchip_buffers_area_um2_total,area_mm2_summary,global_buffer_keep_outputs,global_buffer_bypass_outputs,global_buffer_keep_list,global_buffer_bypass_list,ofmap_buffer_keep_outputs,ofmap_buffer_bypass_outputs,ofmap_buffer_keep_list,ofmap_buffer_bypass_list,map_loop_nest
1mac,timeloop/results/1mac_16x16,1.89,100.0,2304,0.19,2304,84092.44,3500.0,29463.97,,,,29463.97,51128.47,9293,,,,9293,589,0.47,,,,7.39,2400.0,7680.0,,,,7680.0,0.0,True,False,Weights|Inputs|Outputs,,,,,,for P in [0:2) ; for Q in [0:16) ; for P in [0:8) ; for S in [0:3) ; for R in [0:3)
3mac,timeloop/results/3mac_16x16,5.67,100.0,768,0.16,2304,69529.8,3500.0,14901.33,,,,14901.33,51128.47,4701,,,,4701,589,0.93,,,,7.39,7200.0,7680.0,,,,7680.0,0.0,False,True,Weights|Inputs,Outputs,,,,,for Q in [0:8) ; for P in [0:16) ; for Q in [0:2) ; for R in [0:3) ; for S in [0:3) (Spatial-X)
9mac,timeloop/results/9mac_16x16,17.0,100.0,256,0.15,2304,65723.27,3500.0,11094.8,,,,11094.8,51128.47,3501,,,,3501,589,1.24,,,,7.39,21600.0,7680.0,,,,7680.0,0.0,False,True,Weights|Inputs,Outputs,,,,,for Q in [0:16) ; for P in [0:16) ; for S in [0:3) (Spatial-X) ; for R in [0:3) (Spatial-X)
