config,result_dir,gflops_at_1ghz,utilization_pct,cycles,energy_uj,computes_total,fj_per_compute_total,fj_per_compute_mac,fj_per_compute_global_buffer,fj_per_compute_ifmap_buffer,fj_per_compute_weight_buffer,fj_per_compute_ofmap_buffer,fj_per_compute_onchip_buffers_total,fj_per_compute_dram,global_buffer_total_scalar_accesses,ifmap_buffer_total_scalar_accesses,weight_buffer_total_scalar_accesses,ofmap_buffer_total_scalar_accesses,onchip_buffers_total_scalar_accesses,dram_total_scalar_accesses,global_buffer_op_per_byte,ifmap_buffer_op_per_byte,weight_buffer_op_per_byte,ofmap_buffer_op_per_byte,dram_op_per_byte,mac_area_um2_total,global_buffer_area_um2,ifmap_buffer_area_um2,weight_buffer_area_um2,ofmap_buffer_area_um2,onchip_buffers_area_um2_total,area_mm2_summary,global_buffer_keep_outputs,global_buffer_bypass_outputs,global_buffer_keep_list,global_buffer_bypass_list,ofmap_buffer_keep_outputs,ofmap_buffer_bypass_outputs,ofmap_buffer_keep_list,ofmap_buffer_bypass_list,map_loop_nest,ifmap_buffer_bypass_list,ifmap_buffer_bypass_outputs,ifmap_buffer_keep_list,ifmap_buffer_keep_outputs,weight_buffer_bypass_list,weight_buffer_bypass_outputs,weight_buffer_keep_list,weight_buffer_keep_outputs
1mac,timeloop/results/1mac_16x16_splitbuf,1.89,100.0,2304,0.19,2304,84132.44,3500.0,,8346.56,7348.52,13808.89,29503.97,51128.47,,2628,2313,4352,9293,589,,1.66,1.88,1.0,7.39,2400.0,,7680.0,7680.0,7680.0,23040.0,0.0,,,,,True,False,Outputs,Weights|Inputs,for Q in [0:16) ; for P in [0:16) ; for S in [0:3) ; for R in [0:3),Weights|Outputs,True,Inputs,False,Inputs|Outputs,True,Weights,False
3mac,timeloop/results/3mac_16x16_splitbuf,5.67,100.0,768,0.16,2304,69543.13,3500.0,,14901.33,6.67,6.67,14914.67,51128.47,,4701,,,4701,589,,0.93,,,7.39,7200.0,,7680.0,7680.0,7680.0,23040.0,0.0,,,,,False,True,,Weights|Inputs|Outputs,for Q in [0:8) ; for P in [0:16) ; for Q in [0:2) ; for R in [0:3) ; for S in [0:3) (Spatial-X),Outputs,True,Weights|Inputs,False,Weights|Inputs|Outputs,True,,False
9mac,timeloop/results/9mac_16x16_splitbuf,17.0,100.0,256,0.15,2304,66640.22,3500.0,,4678.78,2.22,7330.74,12011.74,51128.47,,1476,,2313,3789,589,,2.95,,1.88,7.39,21600.0,,7680.0,7680.0,7680.0,23040.0,0.0,,,,,False,True,Weights,Inputs|Outputs,for Q in [0:4) ; for P in [0:4) ; for Q in [0:2) ; for Q in [0:2) ; for P in [0:4) ; for S in [0:3) (Spatial-X) ; for R in [0:3) (Spatial-X),Weights|Outputs,True,Inputs,False,Weights|Inputs|Outputs,True,,False
